scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,PaFAR-T,10,0.023092799999999993,500
S2,PaFAR-T,11,0.02549200000000002,500
S2,PaFAR-T,12,0.02798319999999998,500
S2,PaFAR-T,13,0.03030440000000002,500
S2,PaFAR-T,14,0.03257559999999999,500
S2,PaFAR-T,15,0.03475879999999999,500
S2,PaFAR-T,16,0.03690079999999999,500
S2,PaFAR-T,17,0.03904800000000006,500
S2,PaFAR-T,18,0.041200799999999975,500
S2,PaFAR-T,19,0.04324879999999998,500
S2,PaFAR-T,20,0.04525120000000001,500
S2,PaFAR-T,21,0.047263599999999996,500
S2,PaFAR-T,22,0.04922000000000003,500
S2,PaFAR-T,23,0.051144400000000007,500
S2,PaFAR-T,24,0.0531052,500
S2,PaFAR-T,25,0.0549676,500
S2,PaFAR-T,26,0.05677560000000001,500
S2,PaFAR-T,27,0.058590400000000036,500
S2,PaFAR-T,28,0.0604028,500
S2,PaFAR-T,29,0.062155199999999994,500
S2,PaFAR-T,30,0.0639352,500
S2,PaFAR-T,31,0.06570919999999998,500
S2,PaFAR-T,32,0.06742560000000002,500
S2,PaFAR-T,33,0.06915040000000007,500
S2,PaFAR-T,34,0.07073439999999995,500
S2,PaFAR-T,35,0.07232320000000005,500
S2,PaFAR-T,36,0.0738212,500
S2,PaFAR-T,37,0.07526639999999998,500
S2,PaFAR-T,38,0.07663640000000002,500
S2,PaFAR-T,39,0.07789279999999996,500
S2,PaFAR-T,40,0.07903960000000007,500
S2,PaFAR-T,41,0.0801284,500
S2,PaFAR-T,42,0.08104440000000009,500
S2,PaFAR-T,43,0.0818504,500
S2,PaFAR-T,44,0.08255239999999998,500
S2,PaFAR-T,45,0.08320359999999996,500
S2,PaFAR-T,46,0.08378800000000007,500
S2,PaFAR-T,47,0.08431040000000001,500
S2,PaFAR-T,48,0.08492439999999998,500
S2,PaFAR-T,49,0.08541040000000003,500
S2,PaFAR-T,50,0.0858596,500
S2,PaFAR-T,51,0.08631599999999996,500
S2,PaFAR-T,52,0.08677400000000006,500
S2,PaFAR-T,53,0.08721440000000004,500
S2,PaFAR-T,54,0.08764680000000005,500
S2,PaFAR-T,55,0.088058,500
S2,PaFAR-T,56,0.08846959999999994,500
S2,PaFAR-T,57,0.08888559999999995,500
S2,PaFAR-T,58,0.08929079999999999,500
S2,PaFAR-T,59,0.08969599999999994,500
S2,PaFAR-T,60,0.09010519999999994,500
S2,PaFAR-T,61,0.0904948,500
S2,PaFAR-T,62,0.0908836,500
S2,PaFAR-T,63,0.09126559999999992,500
S2,PaFAR-T,64,0.09165199999999996,500
S2,PaFAR-T,65,0.09203560000000005,500
S2,PaFAR-T,66,0.09241240000000009,500
S2,PaFAR-T,67,0.09281519999999992,500
S2,PaFAR-T,68,0.09317959999999997,500
S2,PaFAR-T,69,0.09355919999999993,500
S2,PaFAR-T,70,0.0939388,500
